date	url	image	title	lang
1999-01-15	https://en.wikipedia.org/wiki/Impeachment_of_Bill_Clinton		Оправдание Билла Клинтона в Сенате США (процедура импичмента)	ru	https://ru.wikipedia.org/wiki/%D0%98%D0%BC%D0%BF%D0%B8%D1%87%D0%BC%D0%B5%D0%BD%D1%82_%D0%91%D0%B8%D0%BB%D0%BB%D0%B0_%D0%9A%D0%BB%D0%B8%D0%BD%D1%82%D0%BE%D0%BD%D0%B0
1999-04-20	https://en.wikipedia.org/wiki/Columbine_High_School_massacre		Массовое убийство в школе «Колумбайн»	ru	https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D1%81%D1%82%D1%80%D0%B5%D0%BB_%D0%B2_%D1%88%D0%BA%D0%BE%D0%BB%D0%B5_%C2%AB%D0%9A%D0%BE%D0%BB%D1%83%D0%BC%D0%B1%D0%B0%D0%B9%D0%BD%C2%BB
1999-08-11	https://en.wikipedia.org/wiki/Solar_eclipse_of_August_11,_1999		Полное солнечное затмение 11 августа 1999 года	ru	https://ru.wikipedia.org/wiki/%D0%A1%D0%BE%D0%BB%D0%BD%D0%B5%D1%87%D0%BD%D0%BE%D0%B5_%D0%B7%D0%B0%D1%82%D0%BC%D0%B5%D0%BD%D0%B8%D0%B5_11_%D0%B0%D0%B2%D0%B3%D1%83%D1%81%D1%82%D0%B0_1999_%D0%B3%D0%BE%D0%B4%D0%B0
1999-10-12	https://en.wikipedia.org/wiki/1999_Pakistani_coup_d%27%C3%A9tat	https://upload.wikimedia.org/wikipedia/commons/0/09/PervezMusharraf.jpg	Военный переворот в Пакистане (1999)	ru	https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B5%D0%BD%D0%BD%D1%8B%D0%B9_%D0%BF%D0%B5%D1%80%D0%B5%D0%B2%D0%BE%D1%80%D0%BE%D1%82_%D0%B2_%D0%9F%D0%B0%D0%BA%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D0%B5_(1999)







