date	url	image	title	lang
2014-02-07	https://en.wikipedia.org/wiki/2014_Winter_Olympics		Зимние Олимпийские игры в Сочи	ru	https://ru.wikipedia.org/wiki/Зимние_Олимпийские_игры_2014
2014-02-22	https://en.wikipedia.org/wiki/Revolution_of_Dignity		Победа Евромайдана	ru	https://ru.wikipedia.org/wiki/Евромайдан
2014-02-27	https://en.wikipedia.org/wiki/Annexation_of_Crimea_by_the_Russian_Federation	https://upload.wikimedia.org/wikipedia/commons/5/59/%D0%9A%D1%80%D1%8B%D0%BC%2C_%D0%92%D0%B0%D1%80%D0%BB%D0%B0%D0%BC%D0%BE%D0%B2%2C_%D0%BC%D0%B0%D1%80%D1%82_2014%2C_25.jpg	Начало событий в Крыму	ru	https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D0%BD%D0%B5%D0%BA%D1%81%D0%B8%D1%8F_%D0%9A%D1%80%D1%8B%D0%BC%D0%B0_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B9%D1%81%D0%BA%D0%BE%D0%B9_%D0%A4%D0%B5%D0%B4%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D0%B5%D0%B9
2014-03-16	https://en.wikipedia.org/wiki/2014_Crimean_status_referendum		Референдум в Крыму	ru	https://ru.wikipedia.org/wiki/Референдум_о_статусе_Крыма_(2014)
2014-03-21	https://en.wikipedia.org/wiki/International_sanctions_during_the_Ukrainian_crisis	https://upload.wikimedia.org/wikipedia/commons/2/29/Sanctions_2014_Russia2.png	Первые санкции против России	ru	https://ru.wikipedia.org/wiki/Санкции_в_связи_с_событиями_на_Украине
2014-04-07	https://en.wikipedia.org/wiki/War_in_Donbas		Начало конфликта на Донбассе	ru	https://ru.wikipedia.org/wiki/Вооружённый_конфликт_на_востоке_Украины
2014-06-29	https://en.wikipedia.org/wiki/Islamic_State		Провозглашение «Исламского государства»	ru	https://ru.wikipedia.org/wiki/Исламское_государство
2014-07-17	https://en.wikipedia.org/wiki/Malaysia_Airlines_Flight_17		Крушение рейса MH17	ru	https://ru.wikipedia.org/wiki/Катастрофа_Boeing_777_под_Донецком
2014-09-05	https://en.wikipedia.org/wiki/Minsk_Protocol	https://upload.wikimedia.org/wikipedia/commons/f/fb/Minsk_Protocol.svg	Подписание первых Минских соглашений (Минск-1)	ru	https://ru.wikipedia.org/wiki/Минский_протокол
2014-09-18	https://en.wikipedia.org/wiki/2014_Scottish_independence_referendum		Референдум о независимости Шотландии	ru	https://ru.wikipedia.org/wiki/Референдум_о_независимости_Шотландии_(2014)
2014-10-31	https://en.wikipedia.org/wiki/Alibaba_Group		IPO Alibaba — крупнейшее размещение в истории на тот момент	ru	https://ru.wikipedia.org/wiki/Alibaba_Group
2014-12-17	https://en.wikipedia.org/wiki/Cuban_thaw		Начало нормализации отношений США и Кубы	ru	https://ru.wikipedia.org/wiki/Кубинская_оттепель
