date	url	image	title	lang
1992-04-06	https://en.wikipedia.org/wiki/Bosnian_War		Начало Боснийской войны	ru	https://ru.wikipedia.org/wiki/%D0%91%D0%BE%D1%81%D0%BD%D0%B8%D0%B9%D1%81%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
1992-06-17	https://en.wikipedia.org/wiki/First_Nagorno-Karabakh_War		Первая карабахская война	ru	https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%B2%D0%B0%D1%8F_%D0%9A%D0%B0%D1%80%D0%B0%D0%B1%D0%B0%D1%85%D1%81%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
1992-09-22	https://en.wikipedia.org/wiki/Black_Wednesday		«Чёрная среда» в Великобритании (валютный кризис)	ru	https://ru.wikipedia.org/wiki/%D0%A7%D1%91%D1%80%D0%BD%D0%B0%D1%8F_%D1%81%D1%80%D0%B5%D0%B4%D0%B0
1992-03-02	https://en.wikipedia.org/wiki/Transnistria_conflict		Начало вооружённого конфликта в Приднестровье	ru	https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B8%D0%B4%D0%BD%D0%B5%D1%81%D1%82%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D0%BE%D0%BD%D1%84%D0%BB%D0%B8%D0%BA%D1%82
1992-11-03	https://en.wikipedia.org/wiki/1992_United_States_presidential_election	https://upload.wikimedia.org/wikipedia/commons/d/d3/Bill_Clinton.jpg	Президентские выборы в США (победа Билла Клинтона)	ru	https://ru.wikipedia.org/wiki/%D0%92%D1%8B%D0%B1%D0%BE%D1%80%D1%8B_%D0%BF%D1%80%D0%B5%D0%B7%D0%B8%D0%B4%D0%B5%D0%BD%D1%82%D0%B0_%D0%A1%D0%A8%D0%90_(1992)









