date	url	image	title	lang
2008-01-22	https://en.wikipedia.org/wiki/Heath_Ledger		Умер Хит Леджер	ru	https://ru.wikipedia.org/wiki/Леджер,_Хит
2008-02-17	https://en.wikipedia.org/wiki/2008_Kosovo_declaration_of_independence	https://upload.wikimedia.org/wikipedia/commons/d/d7/Emblem_of_the_Republic_of_Kosovo.svg	Провозглашена независимость Косово	ru	https://ru.wikipedia.org/wiki/Провозглашение_независимости_Косова
2008-03-02	https://en.wikipedia.org/wiki/João_Bernardo_Vieira		Убит президент Гвинеи-Бисау Жуан Бернарду Виейра	ru	https://ru.wikipedia.org/wiki/Виейра,_Жуан_Бернарду
2008-06-01	https://en.wikipedia.org/wiki/Yves_Saint_Laurent_(designer)		Умер Ив Сен-Лоран	ru	https://ru.wikipedia.org/wiki/Сен-Лоран,_Ив
2008-08-03	https://en.wikipedia.org/wiki/Aleksandr_Solzhenitsyn		Умер Александр Солженицын	ru	https://ru.wikipedia.org/wiki/Солженицын,_Александр_Исаевич





