date	url	image	title	lang
1998-02-28	https://en.wikipedia.org/wiki/Kosovo_War		Начало войны в Косово	ru	https://ru.wikipedia.org/wiki/%D0%9A%D0%BE%D1%81%D0%BE%D0%B2%D1%81%D0%BA%D0%B0%D1%8F_%D0%B2%D0%BE%D0%B9%D0%BD%D0%B0
1998-04-10	https://en.wikipedia.org/wiki/Good_Friday_Agreement	https://upload.wikimedia.org/wikipedia/commons/6/6c/Coat_of_arms_of_the_United_Kingdom_%282024%2C_lesser_arms%29.svg	Белфастское соглашение (Соглашение Страстной пятницы)	ru	https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D1%84%D0%B0%D1%81%D1%82%D1%81%D0%BA%D0%BE%D0%B5_%D1%81%D0%BE%D0%B3%D0%BB%D0%B0%D1%88%D0%B5%D0%BD%D0%B8%D0%B5
1998-05-11	https://en.wikipedia.org/wiki/Pokhran-II	https://upload.wikimedia.org/wikipedia/en/2/2a/ShaktiBomb.jpg	Ядерные испытания Индии (Pokhran-II)	ru	(ru — нет статьи)
1998-05-28	https://en.wikipedia.org/wiki/Chagai-I		Ядерные испытания Пакистана (Chagai-I)	ru	https://ru.wikipedia.org/wiki/%D0%A7%D0%B0%D0%B3%D0%B0%D0%B9-I
1998-08-17	https://en.wikipedia.org/wiki/1998_Russian_financial_crisis		Дефолт и девальвация рубля в России (финансовый кризис 1998 года)	ru	https://ru.wikipedia.org/wiki/%D0%AD%D0%BA%D0%BE%D0%BD%D0%BE%D0%BC%D0%B8%D1%87%D0%B5%D1%81%D0%BA%D0%B8%D0%B9_%D0%BA%D1%80%D0%B8%D0%B7%D0%B8%D1%81_%D0%B2_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8_(1998)
1998-09-04	https://en.wikipedia.org/wiki/Google		Основание компании Google	ru	https://ru.wikipedia.org/wiki/Google_%28%D0%BA%D0%BE%D0%BC%D0%BF%D0%B0%D0%BD%D0%B8%D1%8F%29









