date	url	image	title	lang
1991-01-17	https://en.wikipedia.org/wiki/Gulf_War		Начало операции «Буря в пустыне» (война в Персидском заливе)	ru	https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B9%D0%BD%D0%B0_%D0%B2_%D0%9F%D0%B5%D1%80%D1%81%D0%B8%D0%B4%D1%81%D0%BA%D0%BE%D0%BC_%D0%B7%D0%B0%D0%BB%D0%B8%D0%B2%D0%B5
1991-07-01	https://en.wikipedia.org/wiki/Warsaw_Pact		Роспуск Организации Варшавского договора	ru	https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F_%D0%92%D0%B0%D1%80%D1%88%D0%B0%D0%B2%D1%81%D0%BA%D0%BE%D0%B3%D0%BE_%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80%D0%B0
1991-08-19	https://en.wikipedia.org/wiki/1991_Soviet_coup_d%27%C3%A9tat_attempt	https://upload.wikimedia.org/wikipedia/commons/d/de/Boris_Yeltsin_22_August_1991-1.jpg	Августовский путч в СССР	ru	https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B3%D1%83%D1%81%D1%82%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%D0%BF%D1%83%D1%82%D1%87
1991-12-08	https://en.wikipedia.org/wiki/Belovezha_Accords		Подписание Беловежских соглашений	ru	https://ru.wikipedia.org/wiki/%D0%91%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%B6%D1%81%D0%BA%D0%B8%D0%B5_%D1%81%D0%BE%D0%B3%D0%BB%D0%B0%D1%88%D0%B5%D0%BD%D0%B8%D1%8F
1991-12-25	https://en.wikipedia.org/wiki/Dissolution_of_the_Soviet_Union	https://upload.wikimedia.org/wikipedia/ru/3/31/Lowering_the_Soviet_Flag.png	Отставка Горбачёва и распад СССР	ru	https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D0%BF%D0%B0%D0%B4_%D0%A1%D0%A1%D0%A1%D0%A0
1991-06-12	https://en.wikipedia.org/wiki/1991_Russian_presidential_election		Борис Ельцин избран президентом РСФСР	ru	https://ru.wikipedia.org/wiki/%D0%92%D1%8B%D0%B1%D0%BE%D1%80%D1%8B_%D0%BF%D1%80%D0%B5%D0%B7%D0%B8%D0%B4%D0%B5%D0%BD%D1%82%D0%B0_%D0%A0%D0%A1%D0%A4%D0%A1%D0%A0_(1991)
1991-12-01	https://en.wikipedia.org/wiki/1991_Ukrainian_presidential_election	https://upload.wikimedia.org/wikipedia/commons/a/ac/Leonid_Kravchuk_%281%29.jpg	Леонид Кравчук избран президентом Украины	ru	https://ru.wikipedia.org/wiki/%D0%92%D0%B8%D0%B1%D0%BE%D1%80%D0%B8_%D0%BF%D1%80%D0%B5%D0%B7%D0%B8%D0%B4%D0%B5%D0%BD%D1%82%D0%B0_%D0%A3%D0%BA%D1%80%D0%B0%D1%97%D0%BD%D0%B8_1991
1991-08-06	https://en.wikipedia.org/wiki/World_Wide_Web	https://upload.wikimedia.org/wikipedia/commons/d/d1/First_Web_Server.jpg	Публикация первого сайта World Wide Web	ru	https://ru.wikipedia.org/wiki/World_Wide_Web








