date	url	image	title	lang
2001-09-11	https://en.wikipedia.org/wiki/September_11_attacks		Теракты 11 сентября в США	ru	https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D1%80%D0%B0%D0%BA%D1%82%D1%8B_11_%D1%81%D0%B5%D0%BD%D1%82%D1%8F%D0%B1%D1%80%D1%8F_2001_%D0%B3%D0%BE%D0%B4%D0%B0
2001-10-07	https://en.wikipedia.org/wiki/United_States_invasion_of_Afghanistan		Начало военной операции США в Афганистане	ru	https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%B9%D0%BD%D0%B0_%D0%B2_%D0%90%D1%84%D0%B3%D0%B0%D0%BD%D0%B8%D1%81%D1%82%D0%B0%D0%BD%D0%B5_(2001%E2%80%942021)
2001-04-01	https://en.wikipedia.org/wiki/Slobodan_Milo%C5%A1evi%C4%87		Арест Слободана Милошевича в Белграде	ru	https://ru.wikipedia.org/wiki/%D0%90%D1%80%D0%B5%D1%81%D1%82_%D0%A1%D0%BB%D0%BE%D0%B1%D0%BE%D0%B4%D0%B0%D0%BD%D0%B0_%D0%9C%D0%B8%D0%BB%D0%BE%D1%88%D0%B5%D0%B2%D0%B8%D1%87%D0%B0
2001-10-25	https://en.wikipedia.org/wiki/Windows_XP	https://upload.wikimedia.org/wikipedia/ru/8/8f/Windows_XP_SP3.png	Выход Windows XP	ru	https://ru.wikipedia.org/wiki/Windows_XP
2001-12-11	https://en.wikipedia.org/wiki/China_and_the_World_Trade_Organization	https://upload.wikimedia.org/wikipedia/commons/a/ab/National_Emblem_of_the_People%27s_Republic_of_China_%282%29.svg	Вступление Китая в ВТО	ru	https://ru.wikipedia.org/wiki/%D0%9A%D0%B8%D1%82%D0%B0%D0%B9_%D0%B8_%D0%92%D0%A2%D0%9E








