date	url	image	title	lang
2004-03-29	https://en.wikipedia.org/wiki/Enlargement_of_NATO		Расширение НАТО (вступление Болгарии, Латвии, Литвы, Румынии, Словакии и Словении)	ru	https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D1%88%D0%B8%D1%80%D0%B5%D0%BD%D0%B8%D0%B5_%D0%9D%D0%90%D0%A2%D0%9E
2004-05-01	https://en.wikipedia.org/wiki/2004_enlargement_of_the_European_Union		Крупнейшее расширение Европейского союза	ru	https://ru.wikipedia.org/wiki/%D0%A0%D0%B0%D1%81%D1%88%D0%B8%D1%80%D0%B5%D0%BD%D0%B8%D0%B5_%D0%95%D0%A1_(2004)
2004-02-04	https://en.wikipedia.org/wiki/Facebook	https://upload.wikimedia.org/wikipedia/commons/9/93/Facebook_logo_%282023%29.svg	Запуск Facebook	ru	https://ru.wikipedia.org/wiki/Facebook
2004-11-21	https://en.wikipedia.org/wiki/Orange_Revolution	https://upload.wikimedia.org/wikipedia/commons/7/7b/Joesjtsjenko_Marion_Kiev_2004.jpg	Начало Оранжевой революции	ru	https://ru.wikipedia.org/wiki/%D0%9E%D1%80%D0%B0%D0%BD%D0%B6%D0%B5%D0%B2%D0%B0%D1%8F_%D1%80%D0%B5%D0%B2%D0%BE%D0%BB%D1%8E%D1%86%D0%B8%D1%8F
2004-03-11	https://en.wikipedia.org/wiki/2004_Madrid_train_bombings		Теракты в Мадриде	ru	https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D1%80%D0%B0%D0%BA%D1%82%D1%8B_%D0%B2_%D0%9C%D0%B0%D0%B4%D1%80%D0%B8%D0%B4%D0%B5_(2004)






