date	url	image	title	lang
2012-03-04	https://en.wikipedia.org/wiki/2012_Russian_presidential_election		Президентские выборы в России (возвращение Владимира Путина)	ru	https://ru.wikipedia.org/wiki/Президентские_выборы_в_России_(2012)
2012-07-04	https://en.wikipedia.org/wiki/Higgs_boson		Объявление об открытии бозона Хиггса	ru	https://ru.wikipedia.org/wiki/Бозон_Хиггса
2012-07-27	https://en.wikipedia.org/wiki/2012_Summer_Olympics	https://upload.wikimedia.org/wikipedia/ru/9/9a/Logo_London_2012.svg	Летние Олимпийские игры в Лондоне	ru	https://ru.wikipedia.org/wiki/Летние_Олимпийские_игры_2012
2012-08-06	https://en.wikipedia.org/wiki/Curiosity_(rover)		Посадка марсохода Curiosity на Марс	ru	https://ru.wikipedia.org/wiki/Curiosity
2012-11-06	https://en.wikipedia.org/wiki/2012_United_States_presidential_election		Переизбрание Барака Обамы президентом США	ru	https://ru.wikipedia.org/wiki/Президентские_выборы_в_США_(2012)
2012-11-15	https://en.wikipedia.org/wiki/Xi_Jinping		Си Цзиньпин стал генеральным секретарём КПК	ru	https://ru.wikipedia.org/wiki/Си_Цзиньпин
2012-11-29	https://en.wikipedia.org/wiki/United_Nations_General_Assembly_resolution_67/19		Признание Палестины государством-наблюдателем в ООН	ru	https://ru.wikipedia.org/wiki/Резолюция_Генеральной_Ассамблеи_ООН_67/19




