date	url	image	title	lang
2005-04-02	https://en.wikipedia.org/wiki/Death_and_funeral_of_Pope_John_Paul_II	https://upload.wikimedia.org/wikipedia/commons/9/9c/ADAMELLO_-_PAPA_-_Giovanni_Paolo_II_-_panoramio_%28cropped%29.jpg	Умер Иоанн Павел II	ru	https://ru.wikipedia.org/wiki/%D0%98%D0%BE%D0%B0%D0%BD%D0%BD_%D0%9F%D0%B0%D0%B2%D0%B5%D0%BB_II
2005-08-29	https://en.wikipedia.org/wiki/Hurricane_Katrina		Ураган «Катрина»	ru	https://ru.wikipedia.org/wiki/%D0%A3%D1%80%D0%B0%D0%B3%D0%B0%D0%BD_%C2%AB%D0%9A%D0%B0%D1%82%D1%80%D0%B8%D0%BD%D0%B0%C2%BB
2005-10-12	https://en.wikipedia.org/wiki/2005_Kashmir_earthquake	https://upload.wikimedia.org/wikipedia/commons/e/e0/Magnitude_7_6_-_PAKISTAN_20051008035038_gul_pakistan_quake_margalla_towers_210_eng_8oct05_0.jpg	Землетрясение в Кашмире	ru	https://ru.wikipedia.org/wiki/%D0%97%D0%B5%D0%BC%D0%BB%D0%B5%D1%82%D1%80%D1%8F%D1%81%D0%B5%D0%BD%D0%B8%D0%B5_%D0%B2_%D0%9A%D0%B0%D1%88%D0%BC%D0%B8%D1%80%D0%B5_(2005)
2005-11-22	https://en.wikipedia.org/wiki/Angela_Merkel	https://upload.wikimedia.org/wikipedia/commons/1/1d/Msc_2005-Saturday%2C_09.00_-11.00-027_Konferenz_Moerk.jpg	Ангела Меркель стала федеральным канцлером Германии	ru	https://ru.wikipedia.org/wiki/%D0%9C%D0%B5%D1%80%D0%BA%D0%B5%D0%BB%D1%8C,_%D0%90%D0%BD%D0%B3%D0%B5%D0%BB%D0%B0






