date	url	image	title	lang

2016-02-12	https://en.wikipedia.org/wiki/Joint_Declaration_of_Pope_Francis_and_Patriarch_Kirill		Встреча Папы Римского Франциска и Патриарха Кирилла в Гаване	ru	https://ru.wikipedia.org/wiki/Встреча_Папы_Римского_Франциска_и_Патриарха_Кирилла
2016-03-22	https://en.wikipedia.org/wiki/2016_Brussels_bombings	https://upload.wikimedia.org/wikipedia/commons/e/e7/Bruxelles_est_%28re%29belle_-_22_mars_2016.jpg	Теракты в Брюсселе	ru	https://ru.wikipedia.org/wiki/Теракты_в_Брюсселе_(2016)
2016-04-03	https://en.wikipedia.org/wiki/Panama_Papers		Публикация «Панамских документов»	ru	https://ru.wikipedia.org/wiki/Панамские_документы
2016-06-12	https://en.wikipedia.org/wiki/Pulse_nightclub_shooting		Стрельба в Орландо (ночной клуб Pulse)	ru	https://ru.wikipedia.org/wiki/Массовое_убийство_в_Орландо
2016-09-04	https://en.wikipedia.org/wiki/Paris_Agreement		Вступление в силу Парижского соглашения по климату	ru	https://ru.wikipedia.org/wiki/Парижское_соглашение
2016-11-30	https://en.wikipedia.org/wiki/Death_of_Fidel_Castro	https://upload.wikimedia.org/wikipedia/commons/4/4a/Fidel_Castro_1950s.jpg	Умер Фидель Кастро	ru	https://ru.wikipedia.org/wiki/Кастро,_Фидель
2016-12-19	https://en.wikipedia.org/wiki/Assassination_of_Andrei_Karlov	https://upload.wikimedia.org/wikipedia/en/1/17/Assassination_of_Andrei_Karlov.jpg	Убийство Андрея Карлова в Анкаре	ru	https://ru.wikipedia.org/wiki/Убийство_Андрея_Карлова





