date	url	image	title	lang
1995-01-01	https://en.wikipedia.org/wiki/World_Trade_Organization		Начало работы Всемирной торговой организации (ВТО)	ru	https://ru.wikipedia.org/wiki/%D0%92%D1%81%D0%B5%D0%BC%D0%B8%D1%80%D0%BD%D0%B0%D1%8F_%D1%82%D0%BE%D1%80%D0%B3%D0%BE%D0%B2%D0%B0%D1%8F_%D0%BE%D1%80%D0%B3%D0%B0%D0%BD%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D1%8F
1995-07-11	https://en.wikipedia.org/wiki/Srebrenica_massacre		Резня в Сребренице	ru	https://ru.wikipedia.org/wiki/%D0%A1%D1%80%D0%B5%D0%B1%D1%80%D0%B5%D0%BD%D0%B8%D1%86%D0%B0
1995-08-04	https://en.wikipedia.org/wiki/Operation_Storm		Операция «Буря» в Хорватии	ru	https://ru.wikipedia.org/wiki/%D0%9E%D0%BF%D0%B5%D1%80%D0%B0%D1%86%D0%B8%D1%8F_%C2%AB%D0%91%D1%83%D1%80%D1%8F%C2%BB
1995-12-14	https://en.wikipedia.org/wiki/Dayton_Agreement		Подписание Дейтонских соглашений	ru	https://ru.wikipedia.org/wiki/%D0%94%D0%B5%D0%B9%D1%82%D0%BE%D0%BD%D1%81%D0%BA%D0%B8%D0%B5_%D1%81%D0%BE%D0%B3%D0%BB%D0%B0%D1%88%D0%B5%D0%BD%D0%B8%D1%8F
1995-11-04	https://en.wikipedia.org/wiki/Assassination_of_Yitzhak_Rabin		Убийство Ицхака Рабина	ru	https://ru.wikipedia.org/wiki/%D0%A3%D0%B1%D0%B8%D0%B9%D1%81%D1%82%D0%B2%D0%BE_%D0%98%D1%86%D1%85%D0%B0%D0%BA%D0%B0_%D0%A0%D0%B0%D0%B1%D0%B8%D0%BD%D0%B0








