date	en_url	image	en_title	ru_title	ru_url	
1909-04-06	https://en.wikipedia.org/wiki/Robert_Peary		Robert Peary reaches the North Pole	Роберт Пири достигает Северного полюса	https://ru.wikipedia.org/wiki/Пири,_Роберт
1909-07-25	https://en.wikipedia.org/wiki/Louis_Bl%C3%A9riot		Louis Blériot makes the first flight across the English Channel	Луи Блерио впервые перелетает через Ла-Манш	https://ru.wikipedia.org/wiki/Блерио,_Луи
1908-06-30	https://en.wikipedia.org/wiki/Tunguska_event		Tunguska event explosion in Siberia	Упал Тунгусский метеорит	https://ru.wikipedia.org/wiki/Тунгусский_метеорит
1908-07-24	https://en.wikipedia.org/wiki/Young_Turk_Revolution		Young Turk Revolution restores the Ottoman constitution	Младотурецкая революция	https://ru.wikipedia.org/wiki/Младотурецкая_революция
1908-10-06	https://en.wikipedia.org/wiki/Bosnian_crisis	https://upload.wikimedia.org/wikipedia/commons/6/6a/1908-10-07_-_Moritz_Schiller%27s_Delicatessen.jpg	Austria-Hungary annexes Bosnia and Herzegovina starting the Bosnian crisis	Аннексия Боснии и Герцеговины Австро-Венгрией	https://ru.wikipedia.org/wiki/Боснийский_кризис
1907-08-31	https://en.wikipedia.org/wiki/Anglo-Russian_Convention		Anglo-Russian Convention forms the Triple Entente	Англо-русская конвенция и формирование Антанты	https://en.wikipedia.org/wiki/Anglo-Russian_Convention
1907-06-03	https://en.wikipedia.org/wiki/June_Third_Coup	https://upload.wikimedia.org/wikipedia/commons/f/f9/%D0%97%D0%B0%D0%BB_%D0%B7%D0%B0%D1%81%D0%B5%D0%B4%D0%B0%D0%BD%D0%B8%D0%B9_%D0%B3%D0%BE%D1%81%D1%83%D0%B4%D0%B0%D1%80%D1%81%D1%82%D0%B2%D0%B5%D0%BD%D0%BD%D0%BE%D0%B9_%D0%B4%D1%83%D0%BC%D1%8B_1906-1917.jpg	June Third coup in the Russian Empire dissolves the Second Duma	Третьеиюньский переворот в Российской империи	https://ru.wikipedia.org/wiki/Третьеиюньский_переворот
1907-01-22	https://en.wikipedia.org/wiki/Second_Hague_Conference	https://upload.wikimedia.org/wikipedia/commons/1/10/Vredesconferentie_Den_Haag%2C_Tweede_1907_-_Second_Peace_Conference_The_Hague_1907.jpg	Second Hague Peace Conference on international law and warfare	Вторая Гаагская конференция мира	https://ru.wikipedia.org/wiki/Гаагская_конференция_(1907)
1906-04-27	https://en.wikipedia.org/wiki/State_Duma_(Russian_Empire)		Opening of the First State Duma in the Russian Empire	Созыв первой Государственной думы в Российской империи	https://ru.wikipedia.org/wiki/Государственная_дума_Российской_империи
1906-01-26	https://en.wikipedia.org/wiki/HMS_Dreadnought_(1906)		Launch of HMS Dreadnought revolutionizes battleship design	Спуск на воду линкора «Дредноут»	https://ru.wikipedia.org/wiki/HMS_Dreadnought_(1906)
