date	url	image	title	lang
2007-01-09	https://en.wikipedia.org/wiki/Steve_Jobs		Стив Джобс представил первый iPhone на Macworld	ru	https://ru.wikipedia.org/wiki/Джобс,_Стив
2007-02-10	https://en.wikipedia.org/wiki/2007_Munich_speech_of_Vladimir_Putin		Мюнхенская речь Владимира Путина	ru	https://ru.wikipedia.org/wiki/%D0%9C%D1%8E%D0%BD%D1%85%D0%B5%D0%BD%D1%81%D0%BA%D0%B0%D1%8F_%D1%80%D0%B5%D1%87%D1%8C_%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%BC%D0%B8%D1%80%D0%B0_%D0%9F%D1%83%D1%82%D0%B8%D0%BD%D0%B0
2007-06-29	https://en.wikipedia.org/wiki/IPhone_(1st_generation)	https://upload.wikimedia.org/wikipedia/commons/6/6d/IPhone_First_Generation_8GB_%283680455198%29.jpg	Выход первого iPhone (iPhone 2G)	ru	https://ru.wikipedia.org/wiki/IPhone_%28%D0%BF%D0%B5%D1%80%D0%B2%D0%BE%D0%B3%D0%BE_%D0%BF%D0%BE%D0%BA%D0%BE%D0%BB%D0%B5%D0%BD%D0%B8%D1%8F%29
2007-08-15	https://en.wikipedia.org/wiki/Saffron_Revolution		«Шафрановая революция» в Мьянме	ru	https://ru.wikipedia.org/wiki/%D0%A8%D0%B0%D1%84%D1%80%D0%B0%D0%BD%D0%BE%D0%B2%D0%B0%D1%8F_%D1%80%D0%B5%D0%B2%D0%BE%D0%BB%D1%8E%D1%86%D0%B8%D1%8F
2007-12-13	https://en.wikipedia.org/wiki/Treaty_of_Lisbon		Подписание Лиссабонского договора	ru	https://ru.wikipedia.org/wiki/%D0%9B%D0%B8%D1%81%D1%81%D0%B0%D0%B1%D0%BE%D0%BD%D1%81%D0%BA%D0%B8%D0%B9_%D0%B4%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80
2007-12-27	https://en.wikipedia.org/wiki/Assassination_of_Benazir_Bhutto	https://upload.wikimedia.org/wikipedia/commons/4/4c/Benazir_Bhutto.jpg	Убийство Беназир Бхутто	ru	https://ru.wikipedia.org/wiki/%D0%A3%D0%B1%D0%B8%D0%B9%D1%81%D1%82%D0%B2%D0%BE_%D0%91%D0%B5%D0%BD%D0%B0%D0%B7%D0%B8%D1%80_%D0%91%D1%85%D1%83%D1%82%D1%82%D0%BE
2007-12-31	https://en.wikipedia.org/wiki/Subprime_mortgage_crisis		Ипотечный кризис в США (subprime)	ru	https://ru.wikipedia.org/wiki/%D0%A4%D0%B8%D0%BD%D0%B0%D0%BD%D1%81%D0%BE%D0%B2%D1%8B%D0%B9_%D0%BA%D1%80%D0%B8%D0%B7%D0%B8%D1%81_2007%E2%80%942008_%D0%B3%D0%BE%D0%B4%D0%BE%D0%B2





