date	url	image	title	lang
2001-04-07	https://en.wikipedia.org/wiki/Mars_Odyssey	https://upload.wikimedia.org/wikipedia/commons/0/0e/Mars_Odyssey_spacecraft_model.png	Запуск межпланетной станции Mars Odyssey	ru	https://ru.wikipedia.org/wiki/2001_Mars_Odyssey
2001-09-18	https://en.wikipedia.org/wiki/Anthrax_attacks	https://upload.wikimedia.org/wikipedia/commons/9/97/Anthrax_letter_sent_to_Senator_Leahy.jpg	Атаки с рассылкой спор сибирской язвы в США	ru	https://ru.wikipedia.org/wiki/%D0%90%D0%BD%D1%82%D1%80%D0%B0%D0%BA%D1%81%D0%BE%D0%B2%D1%8B%D0%B5_%D0%BF%D0%B8%D1%81%D1%8C%D0%BC%D0%B0
2001-10-23	https://en.wikipedia.org/wiki/IPod_Classic#First_generation	https://upload.wikimedia.org/wikipedia/commons/e/ef/Lightmatter_ipod_1G.jpg	Представление первого iPod	ru	https://ru.wikipedia.org/wiki/IPod
2001-11-15	https://en.wikipedia.org/wiki/Microsoft_Xbox	https://upload.wikimedia.org/wikipedia/commons/d/d7/Xbox_logo_%282019%29.svg	Выход игровой консоли Xbox	ru	https://ru.wikipedia.org/wiki/Xbox
2001-12-02	https://en.wikipedia.org/wiki/Enron_scandal		Банкротство Enron	ru	https://ru.wikipedia.org/wiki/%D0%A1%D0%BA%D0%B0%D0%BD%D0%B4%D0%B0%D0%BB_%D0%B2%D0%BE%D0%BA%D1%80%D1%83%D0%B3_Enron







