date	url	image	title	lang
2002-10-12	https://en.wikipedia.org/wiki/Bali_bombings	https://upload.wikimedia.org/wikipedia/commons/f/fe/Bali_memorial.jpg	Теракты на Бали (2002)	ru	https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D1%80%D0%B0%D0%BA%D1%82%D1%8B_%D0%BD%D0%B0_%D0%91%D0%B0%D0%BB%D0%B8_(2002)
2002-10-23	https://en.wikipedia.org/wiki/Moscow_theater_hostage_crisis	https://upload.wikimedia.org/wikipedia/en/1/11/Moscow_Siege%2C_2002.jpg	Теракт на Дубровке (Москва)	ru	https://ru.wikipedia.org/wiki/%D0%A2%D0%B5%D1%80%D0%B0%D0%BA%D1%82_%D0%BD%D0%B0_%D0%94%D1%83%D0%B1%D1%80%D0%BE%D0%B2%D0%BA%D0%B5
2002-11-15	https://en.wikipedia.org/wiki/Hu_Jintao		Ху Цзиньтао стал генеральным секретарём КПК	ru	https://ru.wikipedia.org/wiki/%D0%A5%D1%83_%D0%A6%D0%B7%D0%B8%D0%BD%D1%8C%D1%82%D0%B0%D0%BE







