date	url	image	title	lang
2000-01-01	https://en.wikipedia.org/wiki/Millennium_celebrations		Всемирные празднования начала нового тысячелетия	ru	https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B0%D0%B7%D0%B4%D0%BD%D0%B8%D1%87%D0%BD%D0%B8%D0%B5_%D0%BD%D0%BE%D0%B2%D0%BE%D0%B3%D0%BE_%D1%82%D1%8B%D1%81%D1%8F%D1%87%D0%B5%D0%BB%D0%B5%D1%82%D0%B8%D1%8F
2000-03-10	https://en.wikipedia.org/wiki/Dot-com_bubble		Пик и разворот дотком-пузыря (NASDAQ достигает максимума)	ru	(ru — нет статьи)
2000-09-15	https://en.wikipedia.org/wiki/2000_Summer_Olympics	https://upload.wikimedia.org/wikipedia/ru/5/57/Sydney_2000_Logo.svg	Летние Олимпийские игры в Сиднее	ru	https://ru.wikipedia.org/wiki/%D0%9B%D0%B5%D1%82%D0%BD%D0%B8%D0%B5_%D0%9E%D0%BB%D0%B8%D0%BC%D0%BF%D0%B8%D0%B9%D1%81%D0%BA%D0%B8%D0%B5_%D0%B8%D0%B3%D1%80%D1%8B_2000
2000-01-01	https://en.wikipedia.org/wiki/Battle_of_Grozny_(1999%E2%80%932000)	https://upload.wikimedia.org/wikipedia/commons/d/d2/Russian_troops_on_their_way_to_Grozny%2C_1999.jpg	Взятие Грозного федеральными силами	ru	https://ru.wikipedia.org/wiki/%D0%91%D0%B8%D1%82%D0%B2%D0%B0_%D0%B7%D0%B0_%D0%93%D1%80%D0%BE%D0%B7%D0%BD%D1%8B%D0%B9_(1999%E2%80%942000)
2000-03-26	https://en.wikipedia.org/wiki/2000_Russian_presidential_election	https://upload.wikimedia.org/wikipedia/commons/d/dd/Vladimir_Putin_official_portrait_%28cropped_3%29.jpg	Президентские выборы в России (победа Владимира Путина)	ru	https://ru.wikipedia.org/wiki/%D0%9F%D1%80%D0%B5%D0%B7%D0%B8%D0%B4%D0%B5%D0%BD%D1%82%D1%81%D0%BA%D0%B8%D0%B5_%D0%B2%D1%8B%D0%B1%D0%BE%D1%80%D1%8B_%D0%B2_%D0%A0%D0%BE%D1%81%D1%81%D0%B8%D0%B8_(2000)
2000-11-07	https://en.wikipedia.org/wiki/2000_United_States_presidential_election	https://upload.wikimedia.org/wikipedia/commons/c/c5/Official_Portrait-_President_George_Walker_Bush%2C_43rd_President_of_the_United_States%2C_Republican_-_DPLA_-_7482eac0e113bf03014d1686a3733f97.jpeg	Президентские выборы в США (победа Джорджа Буша — младшего)	ru	https://ru.wikipedia.org/wiki/%D0%92%D1%8B%D0%B1%D0%BE%D1%80%D1%8B_%D0%BF%D1%80%D0%B5%D0%B7%D0%B8%D0%B4%D0%B5%D0%BD%D1%82%D0%B0_%D0%A1%D0%A8%D0%90_(2000)









