date	url	image	title	lang
1996-08-31	https://en.wikipedia.org/wiki/First_Chechen_War	https://upload.wikimedia.org/wikipedia/ru/a/ad/Lebed_Maskhadov_Khasavyurt.jpg	Подписание соглашения о прекращении огня в Чечне	ru	https://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D1%81%D0%B0%D0%B2%D1%8E%D1%80%D1%82%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B5_%D1%81%D0%BE%D0%B3%D0%BB%D0%B0%D1%88%D0%B5%D0%BD%D0%B8%D1%8F
1996-09-24	https://en.wikipedia.org/wiki/Comprehensive_Nuclear-Test-Ban_Treaty		Принят Договор о всеобъемлющем запрещении ядерных испытаний (ДВЗЯИ)	ru	https://ru.wikipedia.org/wiki/%D0%94%D0%BE%D0%B3%D0%BE%D0%B2%D0%BE%D1%80_%D0%BE_%D0%B2%D1%81%D0%B5%D0%BE%D0%B1%D1%8A%D0%B5%D0%BC%D0%BB%D1%8E%D1%89%D0%B5%D0%BC_%D0%B7%D0%B0%D0%BF%D1%80%D0%B5%D1%89%D0%B5%D0%BD%D0%B8%D0%B8_%D1%8F%D0%B4%D0%B5%D1%80%D0%BD%D1%8B%D1%85_%D0%B8%D1%81%D0%BF%D1%8B%D1%82%D0%B0%D0%BD%D0%B8%D0%B9
1996-11-05	https://en.wikipedia.org/wiki/1996_United_States_presidential_election	https://upload.wikimedia.org/wikipedia/commons/d/d3/Bill_Clinton.jpg	Президентские выборы в США (переизбрание Билла Клинтона)	ru	https://ru.wikipedia.org/wiki/%D0%92%D1%8B%D0%B1%D0%BE%D1%80%D1%8B_%D0%BF%D1%80%D0%B5%D0%B7%D0%B8%D0%B4%D0%B5%D0%BD%D1%82%D0%B0_%D0%A1%D0%A8%D0%90_(1996)








