date	url	image	title	lang
2000-07-25	https://en.wikipedia.org/wiki/Air_France_Flight_4590		Катастрофа Concorde под Парижем	ru	https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D1%82%D0%B0%D1%81%D1%82%D1%80%D0%BE%D1%84%D0%B0_Concorde_%D0%BF%D0%BE%D0%B4_%D0%9F%D0%B0%D1%80%D0%B8%D0%B6%D0%B5%D0%BC
2000-08-12	https://en.wikipedia.org/wiki/Kursk_submarine_disaster	https://upload.wikimedia.org/wikipedia/commons/e/ef/%D0%9C%D0%BE%D1%80%D1%8F%D0%BA%D0%B0%D0%BC-%D0%BF%D0%BE%D0%B4%D0%B2%D0%BE%D0%B4%D0%BD%D0%B8%D0%BA%D0%B0%D0%BC_%D0%BF%D0%BE%D0%B3%D0%B8%D0%B1%D1%88%D0%B8%D0%BC_%D0%B2_%D0%BC%D0%B8%D1%80%D0%BD%D0%BE%D0%B5_%D0%B2%D1%80%D0%B5%D0%BC%D1%8F.JPG	Гибель подводной лодки «Курск»	ru	https://ru.wikipedia.org/wiki/%D0%9A%D1%83%D1%80%D1%81%D0%BA_(%D0%BF%D0%BE%D0%B4%D0%B2%D0%BE%D0%B4%D0%BD%D0%B0%D1%8F_%D0%BB%D0%BE%D0%B4%D0%BA%D0%B0)
2000-09-28	https://en.wikipedia.org/wiki/Second_Intifada		Начало Второй интифады	ru	https://ru.wikipedia.org/wiki/%D0%92%D1%82%D0%BE%D1%80%D0%B0%D1%8F_%D0%B8%D0%BD%D1%82%D0%B8%D1%84%D0%B0%D0%B4%D0%B0
2000-10-05	https://en.wikipedia.org/wiki/Overthrow_of_Slobodan_Milo%C5%A1evi%C4%87		Свержение Слободана Милошевича	ru	https://ru.wikipedia.org/wiki/%D0%A1%D0%B2%D0%B5%D1%80%D0%B6%D0%B5%D0%BD%D0%B8%D0%B5_%D0%9C%D0%B8%D0%BB%D0%BE%D1%88%D0%B5%D0%B2%D0%B8%D1%87%D0%B0






